,Sold to Customer,Country,Customer region redefined,Pr CFN,recommend,Pr Division,confidence,Qty in Sales unit of measure (SUM),base average qty,base weightage qty,recommend average qty,final recommend qty,final recommend qty w probability
78,119890263775,Australia,New South Wales,LF1937,186-0106,MITG,0.56,177.0,125.0,0.42,137.0,195.0,195.0
79,119890263775,Australia,New South Wales,LF1937,DS100A,MITG,0.58,177.0,125.0,0.42,42.0,60.0,0.0
80,119890263775,Australia,New South Wales,LF2019,DS100A,MITG,0.6,167.0,26.0,5.42,42.0,270.0,270.0
81,119890263775,Australia,New South Wales,LF4418,186-0106,MITG,0.57,166.0,66.0,1.52,137.0,345.0,0.0
82,119890263775,Australia,New South Wales,LF4418,DS100A,MITG,0.61,166.0,66.0,1.52,42.0,106.0,106.0
83,119890263775,Australia,New South Wales,OMS-PDBS2,DS100A,MITG,0.58,42.0,19.0,1.21,42.0,93.0,93.0
84,119890263775,Australia,New South Wales,OMS-T10SB,186-0106,MITG,0.52,54.0,25.0,1.16,137.0,296.0,296.0
85,119890263775,Australia,New South Wales,OMS-T10SB,DS100A,MITG,0.58,54.0,25.0,1.16,42.0,91.0,91.0
86,119890263775,Australia,New South Wales,TECR1410DP2,DS100A,MITG,0.54,451.0,61.0,6.39,42.0,310.0,0.0
87,119890556379,Australia,Victoria,MMT-7020C5,MMT-7810W1,Diabetes,0.51,4.0,26.0,-0.85,2.0,0.0,0.0
88,119891193771,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,0.0
89,119891323178,Australia,Western Australia,115-70,186-0106,MITG,0.65,1.0,17.0,-0.94,137.0,8.0,8.0
90,119891323178,Australia,Western Australia,115-70,LF1937,MITG,0.65,1.0,17.0,-0.94,125.0,8.0,8.0
91,119891323178,Australia,Western Australia,115-80,186-0106,MITG,0.66,2.0,16.0,-0.88,137.0,16.0,16.0
92,119891323178,Australia,Western Australia,115-80,LF1937,MITG,0.64,2.0,16.0,-0.88,125.0,15.0,15.0
93,119891323178,Australia,Western Australia,350-005-000,LF1937,MITG,0.51,2.0,14.0,-0.86,125.0,18.0,0.0
94,119891323178,Australia,Western Australia,350-013-000,LF1937,MITG,0.52,2.0,13.0,-0.85,125.0,19.0,0.0
95,119891323178,Australia,Western Australia,8886803712,150462,MITG,0.53,64.0,113.0,-0.43,75.0,43.0,43.0
96,119891323178,Australia,Western Australia,8886803712,186-0106,MITG,0.55,64.0,113.0,-0.43,137.0,78.0,0.0
97,119891323178,Australia,Western Australia,8886803712,LF1937,MITG,0.59,64.0,113.0,-0.43,125.0,71.0,71.0
98,119891323178,Australia,Western Australia,8888247031,150462,MITG,0.5,20.0,36.0,-0.44,75.0,42.0,42.0
99,119891323178,Australia,Western Australia,8888247031,186-0106,MITG,0.59,20.0,36.0,-0.44,137.0,77.0,77.0
100,119891323178,Australia,Western Australia,8888247056,186-0106,MITG,0.61,7.0,21.0,-0.67,137.0,45.0,45.0
101,119891323178,Australia,Western Australia,8888247056,LF1937,MITG,0.62,7.0,21.0,-0.67,125.0,41.0,41.0
102,119891323178,Australia,Western Australia,D-YS,DS100A,MITG,0.8,5.0,9.0,-0.44,42.0,24.0,24.0
103,119891323178,Australia,Western Australia,EASYCAPII6,DS100A,MITG,0.5,9.0,18.0,-0.5,42.0,21.0,0.0
104,119891323178,Australia,Western Australia,LF1837,186-0106,MITG,0.57,153.0,108.0,0.42,137.0,195.0,195.0
105,119891323178,Australia,Western Australia,LF1837,DS100A,MITG,0.58,153.0,108.0,0.42,42.0,60.0,0.0
106,119891323178,Australia,Western Australia,LF4418,186-0106,MITG,0.57,94.0,66.0,0.42,137.0,195.0,0.0
107,119891323178,Australia,Western Australia,LF4418,DS100A,MITG,0.61,94.0,66.0,0.42,42.0,60.0,0.0
108,119891323178,Australia,Western Australia,OMS-PDBS2,DS100A,MITG,0.58,1.0,19.0,-0.95,42.0,2.0,0.0
109,119891323178,Australia,Western Australia,OMS-T10SB,186-0106,MITG,0.52,1.0,25.0,-0.96,137.0,5.0,5.0
110,119891323178,Australia,Western Australia,OMS-T10SB,DS100A,MITG,0.58,1.0,25.0,-0.96,42.0,2.0,2.0
111,119891642322,Australia,New South Wales,118-70,186-0106,MITG,0.66,1.0,19.0,-0.95,137.0,7.0,0.0
112,119891642322,Australia,New South Wales,118-80,186-0106,MITG,0.69,1.0,20.0,-0.95,137.0,7.0,0.0
113,119891642322,Australia,New South Wales,173022,DS100A,MITG,0.6,1.0,7.0,-0.86,42.0,6.0,0.0
114,119891642322,Australia,New South Wales,173049,DS100A,MITG,0.63,5.0,46.0,-0.89,42.0,5.0,5.0
115,119891642322,Australia,New South Wales,8888247031,150462,MITG,0.5,2.0,36.0,-0.94,75.0,4.0,0.0
116,119891642322,Australia,New South Wales,8888247031,186-0106,MITG,0.59,2.0,36.0,-0.94,137.0,8.0,0.0
117,119891642322,Australia,New South Wales,8888247056,186-0106,MITG,0.61,4.0,21.0,-0.81,137.0,26.0,0.0
118,119891642322,Australia,New South Wales,ABSTACK30X,186-0106,MITG,0.53,32.0,62.0,-0.48,137.0,71.0,71.0
119,119891642322,Australia,New South Wales,ABSTACK30X,DS100A,MITG,0.54,32.0,62.0,-0.48,42.0,22.0,0.0
120,119891642322,Australia,New South Wales,D-YS,DS100A,MITG,0.8,2.0,9.0,-0.78,42.0,9.0,9.0
121,119891642322,Australia,New South Wales,EASYCAPII6,DS100A,MITG,0.5,1.0,18.0,-0.94,42.0,3.0,0.0
122,119891642322,Australia,New South Wales,EGIA60AMT,186-0106,MITG,0.57,73.0,109.0,-0.33,137.0,92.0,92.0
123,119891642322,Australia,New South Wales,EGIA60AMT,DS100A,MITG,0.59,73.0,109.0,-0.33,42.0,28.0,0.0
124,119891642322,Australia,New South Wales,LF1837,186-0106,MITG,0.57,3.0,108.0,-0.97,137.0,4.0,4.0
125,119891642322,Australia,New South Wales,LF1837,DS100A,MITG,0.58,3.0,108.0,-0.97,42.0,1.0,1.0
126,119891642322,Australia,New South Wales,LF1937,186-0106,MITG,0.56,9.0,125.0,-0.93,137.0,10.0,10.0
127,119891642322,Australia,New South Wales,LF1937,340-000-000,MITG,0.5,9.0,125.0,-0.93,24.0,2.0,0.0
128,119891642322,Australia,New South Wales,LF1937,DS100A,MITG,0.58,9.0,125.0,-0.93,42.0,3.0,3.0
129,119891642322,Australia,New South Wales,LF2019,DS100A,MITG,0.6,1.0,26.0,-0.96,42.0,2.0,2.0
130,119891642322,Australia,New South Wales,OMS-PDBS2,340-000-000,MITG,0.51,14.0,19.0,-0.26,24.0,18.0,0.0
