,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
76,DS100A,2022-10-01,1036.1358935591622,30,,,1070.74346602045,DS100A,517.6724242333454,1623.8145078075545,DS100A,1053.4396797898062
77,DS100A,2022-11-01,1054.0475770909413,31,,,1085.2767596222284,DS100A,517.8443934858271,1652.7091257586296,DS100A,1069.662168356585
78,DS100A,2022-12-01,1071.3814643797598,32,,,1122.5473809525388,DS100A,537.4476586765078,1707.64710322857,DS100A,1096.9644226661494
79,DS100A,2023-01-01,1089.2931479115387,33,,,1144.3090590600707,DS100A,545.3108024021221,1743.3073157180193,DS100A,1116.8011034858046
80,DS100A,2023-02-01,1107.2048314433177,34,,,1161.6937647675145,DS100A,551.5238986356972,1771.8636308993314,DS100A,1134.4492981054161
81,DS100A,2023-03-01,1123.383126246215,35,,,1184.9462711823385,DS100A,560.7811693094205,1809.1113730552563,DS100A,1154.1646987142767
82,DS100A,2023-04-01,1141.2948097779938,36,,,1213.3550214922022,DS100A,575.0569238369103,1851.6531191474944,DS100A,1177.324915635098
83,DS100A,2023-05-01,1158.6286970668123,37,,,1234.3977421375562,DS100A,583.9527584541516,1884.8427258209608,DS100A,1196.513219602184
84,DS100A,2023-06-01,1176.5403805985911,38,,,1255.452169101127,DS100A,593.2477805291236,1917.6565576731305,DS100A,1215.9962748498592
85,DS100A,2023-07-01,1193.8742678874098,39,,,1279.9533110213365,DS100A,604.9655739254118,1954.9410481172613,DS100A,1236.9137894543733
86,DS100A,2023-08-01,1211.7859514191885,40,,,1304.6473160595694,DS100A,617.381157828557,1991.913474290582,DS100A,1258.216633739379
87,DS100A,2023-09-01,1229.6976349509678,41,,,1326.4381218236874,DS100A,627.7361155060513,2025.140128141324,DS100A,1278.0678783873277
88,DS100A,2023-10-01,1247.031522239786,42,,,1349.167107514452,DS100A,638.982245623448,2059.351969405456,DS100A,1298.099314877119
89,DS100A,2023-11-01,1264.943205771565,43,,,1373.2381006933692,DS100A,651.3681510163608,2095.108050370378,DS100A,1319.090653232467
90,DS100A,2023-12-01,1282.2770930603833,44,,,1396.6632904006858,DS100A,663.5475365953589,2129.7790442060127,DS100A,1339.4701917305347
91,DS100A,2024-01-01,1300.1887765921626,45,,,1419.1933099153068,DS100A,675.1691017676848,2163.217518062929,DS100A,1359.6910432537347
92,186-0106,2020-04-01,1581.160701438433,0,64.0,186-0106,,,,,186-0106,
93,186-0106,2020-05-01,1623.8905420318624,1,1143.0,186-0106,,,,,186-0106,
94,186-0106,2020-06-01,1667.798619727308,2,1147.88,186-0106,,,,,186-0106,
